报价($),原价,折扣,支付类型,预期FB使用次数,Credits,无码CM,HD+60F CM,内部产品类型,父记录
4.49,4.49,0,PAYG,0,10,44.9,Inf,诱饵,
8.99,8.99,0,PAYG,0,20,44.9,inf,诱饵,
12.99,13.48,0.036350148367952584,PAYG,1,30,43.3,43.3,诱饵,
9.99,49.9,0.7997995991983968,Sub Mon,3.66,110,19,3.7,目标产品,
14.99,98.4,0.8476626016260163,Sub Mon,7.33,220,13.5,3.7,可删除,
29.99,250.7,0.8803749501396091,Sub Mon,18.6,560,8.1,3.7,Most Popular,
49.99,529.764,0.9056372271426522,Sub Mon,39.3,1180,5.4,3.7,Most Popular,
99.99,593.12,0.8314169139465876,Sub Year,44,1320,15.3,3.7,诱饵,
149.99,1186.24,0.8735584704612894,Sub Year,88,2640,9.6,3.7,可删除,
199.99,2965.6,0.9325633935797141,Sub Year,220,6660,5.4,2.5,Most Popular,
359.99,5931.2,0.9393057054221743,Sub Year,440,13200,2.7,2.5,Most Popular,
,,,,,,,,,
